"CAD","CRS","nombre"
,16020,"Política de empleo y gestión administrativa"
,16030,"Política de vivienda y gestión administrativa"
,16040,"Viviendas de bajo coste"
,16050,"Ayuda multisectorial para servicios sociales básicos"
,16061,"Cultura y ocio"
,16062,"Capacitación estadística"
,16063,"Control de estupefacientes"
,16064,"Mitigación social del VIH / SIDA"
200,,"INFRAESTRUCTURAS Y SERVICIOS ECONÓMICOS"
210,,"TRANSPORTE Y ALMACENAMIENTO"
,21010,"Política de transportes y gestión administrativa"
,21020,"Transporte por carretera"
,21030,"Transporte por ferrocarril"
,21040,"Transporte marítimo y fluvial"
,21050,"Transporte aéreo"
,21061,"Almacenamiento"
,21081,"Enseñanza y formación en transporte y almacenamiento"
220,,"COMUNICACIONES"
,22010,"Política de comunicaciones y gestión administrativa"
,22020,"Telecomunicaciones"
,22030,"Radio, televisión, prensa"
,22040,"Tecnologías de la información y de la comunicación (TIC)"
230,,"GENERACIÓN Y SUMINISTRO DE ENERGÍA. "
,23010,"Política energética y gestión administrativa"
,23020,"Producción energética: fuentes no renovables"
,23030,"Producción energética: fuentes renovables"
,23040,"Transmisión / distribución de energía eléctrica"
,23050,"Distribución de gas"
,23061,"Centrales térmicas de petróleo"
,23062,"Centrales térmicas de gas"
,23063,"Centrales térmicas de carbón"
,23064,"Centrales nucleares"
,23065,"Centrales hidroeléctricas"
,23066,"Energía geotérmica"
,23067,"Energía solar"
,23068,"Energía eólica"
,23069,"Energía maremotriz"
,23070,"Biomasa"
,23081,"Educación, formación en temas energéticos"
,23082,"Investigación energética"
240,,"SERVICIOS BANCARIOS Y FINANCIEROS"
,24010,"Política financiera y gestión administrativa"
,24020,"Instituciones monetarias"
,24030,"Intermediarios financieros del sector formal"
,24040,"Intermediarios financieros semi-formales, informales"
,24081,"Enseñanza / formación en banca y servicios financieros"
250,,"EMPRESAS Y OTROS SERVICIOS"
,25010,"Servicios e instituciones de apoyo a la empresa"
,25020,"Privatizaciones"
300,,"SECTORES PRODUCTIVOS"
311,,"AGRICULTURA"
,31110,"Política agraria y gestión administrativa"
,31120,"Desarrollo agrario"
,31130,"Tierras cultivables"
,31140,"Recursos hídricos para uso agrícola"
,31150,"Insumos agrícolas"
,31161,"Producción de alimentos agrícolas"
,31162,"Cultivos industriales destinados a la exportación"
,31163,"Ganadería"
,31164,"Reforma agraria"
,31165,"Desarrollo agrario alternativo"
,31166,"Extensión agraria."
,31181,"Enseñanza / formación agraria"
,31182,"Investigación agraria."
,31191,"Servicios agrícolas"
,31192,"Protec. plantas y cosechas recogidas y lucha c. plagas"
,31193,"Servicios financieros agrícolas"
,31194,"Cooperativas agrícolas"
,31195,"Servicios veterinarios"
312,,"SILVICULTURA"
,31210,"Política forestal y gestión administrativa"
,31220,"Desarrollo forestal"
,31261,"Producción de carbón vegetal / leña"
,31281,"Educación, formación forestal"
,31282,"Investigación en silvicultura"
,31291,"Servicios forestales"
313,,"PESCA"
,31310,"Política pesquera y gestión administrativa"
,31320,"Desarrollo pesquero"
,31381,"Educación, formación pesquera"
,31382,"Investigación pesquera"
,31391,"Servicios pesqueros"
321,,"INDUSTRIA"
,32110,"Política industrial y gestión administrativa"
,32120,"Desarrollo industrial"
,32130,"Desarrollo de PYMES"
,32140,"Industria artesanal"
,32161,"Agroindustrias"
,32162,"Industrias forestales"
,32163,"Textiles, piel y sustitutos"
,32164,"Productos químicos"
,32165,"Plantas de producción de fertilizantes"
,32166,"Cemento, cal, yeso"
,32167,"Fabricación de productos energéticos"
,32168,"Producción farmacéutica"
,32169,"Industria metalúrgica básica"
,32170,"Industrias de metales no ferrosos"
,32171,"Construcción mecánica y eléctrica"
,32172,"Material de transporte"
,32182,"Investigación y desarrollo tecnológico"
322,,"INDUSTRIAS EXTRACTIVAS"
,32210,"Política de las industrias extractivas y gestión administrativa"
,32220,"Prospección de minerales y exploración"
,32261,"Carbón"
,32262,"Petróleo y gas"
,32263,"Metales ferrosos"
,32264,"Metales no ferrosos"
,32265,"Metales / minerales preciosos"
,32266,"Minerales industriales"
,32267,"Fertilizantes minerales"
,32268,"Recursos minerales en fondos marinos"
323,,"CONSTRUCCIÓN"
,32310,"Política de construcción y gestión administrativa"
331,,"COMERCIO"
,33110,"Política comercial y gestión administrativa"
,33120,"Fomento del comercio"
,33130,"Acuerdos comerciales regionales"
,33140,"Negociaciones comerciales multilaterales"
,33150,"Ajustes vinculados al comercio"
,33181,"Educación / formación comercial"
332,,"TURISMO"
,33210,"Política turística y gestión administrativa"
400,,"MULTISECTORIAL"
410,,"PROTECCIÓN GENERAL DEL MEDIO AMBIENTE"
,41010,"Política medioambiental y gestión administrativa"
,41020,"Protección de la biosfera"
,41030,"Biodiversidad"
,41040,"Protección del patrimonio histórico, artístico y arqueológico"
,41050,"Control / prevención de inundaciones"
,41081,"Educación / formación medioambiental"
,41082,"Investigación medioambiental"
430,,"OTROS MULTISECTORIAL"
,43010,"Ayuda multisectorial"
,43030,"Desarrollo y gestión urbanos"
,43040,"Desarrollo rural"
,43050,"Desarrollo alternativo no agrario"
,43081,"Enseñanza / formación multisectoriales"
,43082,"Instituciones científicas y de investigación"
,,"SUBTOTAL SECTORES NO DISTRIBUIBLES"
500,,"AYUDA MERC. Y PROGR. GENERALES DE ASISTENCIA"
510,,"APOYO PRESUPUESTARIO GENERAL"
,51010,"Apoyo presupuestario general"
520,,"AYUDA ALIM. PARA EL DES. / SEGURIDAD ALIMENTARIA"
,52010,"Ayuda Alimentaria / Programas de seguridad alimentaria"
530,,"OTRAS AYUDAS PARA LA ADQUISICIÓN DE BIENES"
,53030,"Apoyo a la importación (bienes de equipo)"
,53040,"Apoyo a la importación (productos)"
600,,"ACTIVIDADES RELACIONADAS CON LA DEUDA "
,60010,"Actividades relacionadas con la deuda"
,60020,"Condonación de deuda"
,60030,"Alivio de la deuda multilateral"
,60040,"Reestructuración y refinanciación"
,60061,"Canje de deuda por proyectos de desarrollo"
,60062,"Otros tipos de canje de deuda"
,60063,"Recompra de deuda"
700,,"AYUDA DE EMERGENCIA"
720,,"AYUDAS DE EMERGENCIA"
,72010,"Ayuda y servicios materiales de emergencia"
,72040,"Ayuda alimentaria de emergencia"
"NUEVO: Creado en 2006.",72050,"Coordinación de los servicios de protección de la ayuda"
730,,"AYUDA A LA RECONSTRUCCIÓN Y REHABILITACIÓN"
,73010,"Ayuda a la reconstrucción y rehabilitación"
740,,"PREVENCIÓN DE DESASTRES"
,74010,"Prevención de desastres"
910,,"COSTES ADMINISTRATIVOS DONANTES."
,91010,"Costes administrativos"
930,,"AYUDA A REFUGIADOS EN EL PAÍS DONANTE"
,93010,"Ayuda a refugiados en el país donante"
998,,"SIN ESPECIFICACIÓN / NO CLASIFICADOS."
,99810,"Sectores no especificados"
,99820,"Sensibilización sobre los problemas rel. con el desarrollo"
